"","field","ini_year","cover_metacommunity_ini","cover_metacommunity_mean","gamma_stab","alpha_stab","sp_stab","species_stab","sp_asynchrony","spatial_asynchrony","pop_synchrony"
"1",1,1958,3627.3,5335.74285714286,4.21815312366848,3.41007689928263,0.642389208916157,0.64768936156093,5.26498828244508,1.23696715594767,0.562609118372192
"2",1,1960,4456.8,5866.9,4.85947540972525,3.3957193474209,0.698632743970783,0.701086993605574,4.84350640989255,1.43105919911082,0.498307686801099
"3",1,1962,5074.5,6036.14285714286,5.75195790669702,3.39220573721897,0.738017239400542,0.741973543006777,4.57186886135102,1.69563946065743,0.461414222580824
"4",1,1964,5359.8,6507.84285714286,5.1443479605197,3.25667287349332,0.75039874531492,0.74730925570471,4.35786503195694,1.57963300594006,0.442284671605732
"5",1,1966,5444.1,6912.27142857143,5.3618762845893,3.2201882319112,0.785226758626777,0.784629977111755,4.10408514312033,1.66508163450029,0.436214247991161
"6",1,1968,5659.5,7108.27142857143,6.3341097505115,3.42529192957005,0.833782878049513,0.831551012752018,4.11916031252736,1.84921749175014,0.431375056510437
"7",1,1970,7728.2,7689.58571428571,5.96872428044152,3.48256945344302,0.909541784222363,0.897926254573962,3.8784582093497,1.71388521039849,0.430055584264732
"8",1,1972,7345.4,7960.71428571429,5.36863267601909,3.3886839039826,1.01922259265869,1.0183471831846,3.32763124397854,1.58428252033467,0.398178163781696
"9",1,1974,5641.5,8167.18571428571,5.50540278839233,3.43200600681048,1.19796250813822,1.20247631313622,2.85411526972979,1.60413553399015,0.337079223259362
"10",1,1976,8376.4,8635.15714285714,8.74144416374121,3.95966518943979,1.46693831959099,1.42723765396234,2.77435588841624,2.20762204518053,0.278921007379816
"11",1,1978,8190.8,8566.48571428571,8.35883298958743,3.9911176721324,1.48583833396219,1.4503862660172,2.75176190346322,2.09435894309812,0.297329070008991
"12",1,1980,6816.1,8659.71428571429,8.53507940728586,4.10198177551839,1.49586837068937,1.45184156421585,2.82536461045176,2.08072094767102,0.361899299948838
"13",1,1982,9728.7,8832.75714285714,12.5589606964475,4.03683146124306,1.44189125402999,1.38695021522926,2.9105813726528,3.11109364287908,0.354435379169056
"14",1,1984,9626.1,8683.95714285714,14.9246320520964,4.03774604845036,1.47256759195687,1.40767927562363,2.86837074209363,3.69627804052321,0.325976070101593
"15",1,1986,8790.7,8577.04285714286,20.0206201228695,4.008367025052,1.45998918807412,1.40314186421862,2.85670831101899,4.99470732039808,0.24159926841508
"16",1,1988,8917.3,8374.4,13.7681695651579,4.01267083039857,1.43236118398736,1.37713542725285,2.91378084608801,3.43117343711704,0.195827943785849
"17",1,1990,7895.7,8077.44285714286,10.3330506632934,3.7836958473053,1.42771959222848,1.36458043201841,2.77279063844456,2.7309411433407,0.176757887156693
"18",1,1992,8843.4,8139.44285714286,10.4071209350457,3.61639021130157,1.44446640738877,1.38942040991663,2.60280487136256,2.87776493325371,0.181130479906058
"19",1,1994,8027.4,7977.45714285714,10.9652404441443,3.53573160811644,1.34042315002181,1.29730157154499,2.72545080162483,3.10126493169703,0.197380889779158
"20",1,1996,8687.1,8222.98285714286,8.30697232530219,3.33114625598212,1.26386456608159,1.21269906087731,2.74688615127009,2.49372789032736,0.226055679140942
"21",1,1998,8877.7,8081.68285714286,8.22003462431031,3.15735080041549,1.19833639108853,1.15635431059603,2.7304354482737,2.60345940122605,0.219405765517445
"22",1,2000,7372.2,7826.88285714286,8.03942597131513,2.97797300833152,1.15703039747887,1.11679626257447,2.66653203285854,2.69963023466738,0.218070560856004
"23",1,2002,6838.6,7890.21142857143,8.2770562571716,3.03874779593419,1.11912983856805,1.07682215545034,2.82195883559189,2.72383784802615,0.205128155510315
"24",1,2004,8329.7,8070.58285714286,9.68878357488069,3.09111661627863,1.10275236288575,1.06303003309562,2.90783563967338,3.13439600559132,0.187183125149686
