ID,Field,Plot,X,Y
C7-23,5,23,666,216
C7-24,5,24,676,216
C7-25,5,25,674,222
C7-26,5,26,664,222
C7-27,5,27,654,222
C7-28,5,28,644,222
C7-29,5,29,634,222
C7-30,5,30,624,222
C7-31,5,31,614,222
C7-32,5,32,604,222
C7-33,5,33,606,228
C7-34,5,34,616,228
C7-35,5,35,626,228
C7-36,5,36,636,228
C7-37,5,37,646,228
C7-38,5,38,656,228
C7-39,5,39,661,228
C7-40,5,40,666,228
C7-41,5,41,671,228
C7-42,5,42,664,234
C7-43,5,43,654,234
C7-44,5,44,644,234
C7-45,5,45,634,234
C7-46,5,46,624,234
C7-47,5,47,614,234
C7-48,5,48,604,234
D1-1,6,1,9,104
D1-2,6,2,19,104
D1-3,6,3,29,104
D1-4,6,4,39,104
D1-5,6,5,49,104
D1-6,6,6,59,104
D1-7,6,7,69,104
D1-8,6,8,79,104
D1-9,6,9,89,104
D1-10,6,10,99,104
D1-11,6,11,96,112
D1-12,6,12,86,112
D1-13,6,13,76,112
D1-14,6,14,66,112
D1-15,6,15,56,112
D1-16,6,16,46,112
D1-17,6,17,36,112
D1-18,6,18,26,112
D1-19,6,19,16,112
D1-20,6,20,6,112
D1-21,6,21,9,120
D1-22,6,22,19,120
D1-23,6,23,29,120
D1-24,6,24,39,120
D1-25,6,25,49,120
D1-26,6,26,59,120
D1-27,6,27,69,120
D1-28,6,28,79,120
D1-29,6,29,89,120
D1-30,6,30,99,120
D1-31,6,31,96,128
D1-32,6,32,86,128
D1-33,6,33,76,128
D1-34,6,34,66,128
D1-35,6,35,56,128
D1-36,6,36,46,128
D1-37,6,37,36,128
D1-38,6,38,26,128
D1-39,6,39,16,128
D1-40,6,40,6,128
D1-41,6,41,9,136
D1-42,6,42,19,136
D1-43,6,43,29,136
D1-44,6,44,39,136
D1-45,6,45,49,136
D1-46,6,46,59,136
D1-47,6,47,69,136
D1-48,6,48,79,136
D2-1,7,1,109,104
D2-2,7,2,119,104
D2-3,7,3,129,104
D2-4,7,4,139,104
D2-5,7,5,149,104
D2-6,7,6,159,104
D2-7,7,7,169,104
D2-8,7,8,179,104
D2-9,7,9,189,104
D2-10,7,10,199,104
D2-11,7,11,196,111
D2-12,7,12,186,111
