species_id,Family,Genus,species,Species,Origin,Growth,Span,Pollination,Dispersal,Clonality,Height (m),LDMC (g/g),SLA (cm2/g),Seedmass (g/1000 seeds)
5,"Malvaceae	",Abutilon,theophrasti,Abutilon_theophrasti,Exotic,Forb,Annual,Biotic,Abiotic,FALSE,1.50,NA,250.00,9.077
9,"Euphorbiaceae	",Acalypha,gracilens,Acalypha_gracilens,Native,Forb,Annual,Abiotic,Abiotic,FALSE,0.50,NA,NA,NA
10,"Euphorbiaceae	",Acalypha,rhomboidea,Acalypha_rhomboidea,Native,Forb,Annual,Abiotic,Abiotic,FALSE,0.60,0.286,495.50,0.865
11,"Euphorbiaceae	",Acalypha,virginica,Acalypha_virginica,Native,Forb,Annual,Abiotic,Abiotic,FALSE,0.60,NA,NA,0.600
15,"Sapindaceae	",Acer,negundo,Acer_negundo,Native,Tree,Perennial,Abiotic,Abiotic,FALSE,20.00,0.271,206.74,39.100
16,"Sapindaceae	",Acer,saccharinum,Acer_saccharinum,Native,Tree,Perennial,Abiotic,Abiotic,FALSE,30.00,0.417,132.04,254.830
17,"Sapindaceae	",Acer,platanoides,Acer_platanoides,Exotic,Tree,Perennial,Abiotic,Abiotic,FALSE,30.000,0.377,200.99,158.600
18,"Sapindaceae	",Acer,saccharum,Acer_saccharum,Native,Tree,Perennial,Abiotic,Abiotic,FALSE,40.00,0.422,210.67,58.500
20,"Sapindaceae	",Acer,rubrum,Acer_rubrum,Native,Tree,Perennial,Abiotic,Abiotic,FALSE,35.00,0.371,180.02,17.514
25,"Asteraceae	",Achillea,millefolium,Achillea_millefolium,Native,Forb,Perennial,Biotic,Abiotic,TRUE,1.00,0.261,60.13,0.082
26,Ranunculaceae,Actaea,pachypoda,Actaea_pachypoda,Native,Forb,Perennial,Biotic,Biotic,FALSE,0.80,NA,NA,9.758
30,"Poaceae	",Elytrigia,repens,Elytrigia_repens,Exotic,Graminoid,Perennial,Abiotic,Abiotic,TRUE,1.00,0.392,140.03,2.020
32,"Poaceae	",Agrostis,gigantea,Agrostis_gigantea,Exotic,Graminoid,Perennial,Abiotic,Abiotic,TRUE,1.50,0.294,285.22,0.090
35,"Poaceae	",Agrostis,stolonifera,Agrostis_stolonifera,Exotic,Graminoid,Perennial,Abiotic,Abiotic,TRUE,0.50,0.222,208.00,0.020
36,"Poaceae	",Agrostis,perennans,Agrostis_perennans,Exotic,Graminoid,Perennial,Abiotic,Abiotic,FALSE,1.00,NA,NA,0.099
37,"Poaceae	",Agrostis,capillaris,Agrostis_capillaris,Exotic,Graminoid,Perennial,Abiotic,Abiotic,TRUE,0.60,0.273,333.80,0.058
40,"Poaceae	",Agrostis,hyemalis,Agrostis_hyemalis,Native,Graminoid,Perennial,Abiotic,Abiotic,FALSE,0.90,0.381,193.69,0.042
45,"Simaroubaceae	",Ailanthus,altissima,Ailanthus_altissima,Exotic,Tree,Perennial,Biotic,Abiotic,FALSE,25.00,0.303,175.71,26.070
49,"Amaryllidaceae	",Allium,canadense,Allium_canadense,Native,Forb,Perennial,Biotic,Abiotic,FALSE,0.60,NA,NA,8.900
50,"Amaryllidaceae	",Allium,vineale,Allium_vineale,Exotic,Forb,Perennial,Biotic,Abiotic,FALSE,1.00,0.171,184.40,5.000
52,"Rosaceae	",Amelanchier,canadensis,Amelanchier_canadensis,Native,Shrub,Perennial,Biotic,Biotic,FALSE,8.00,NA,NA,8.100
53,"Brassicaceae	",Alliaria,petiolata,Alliaria_petiolata,Exotic,Forb,Biennial,Biotic,Abiotic,FALSE,1.00,0.160,313.69,1.720
56,"Amaranthaceae	",Amaranthus,retroflexus,Amaranthus_retroflexus,Exotic,Forb,Annual,Abiotic,Abiotic,FALSE,3.00,0.217,163.92,0.400
60,"Asteraceae	",Ambrosia,artemisiifolia,Ambrosia_artemisiifolia,Native,Forb,Annual,Abiotic,Abiotic,FALSE,1.00,0.242,221.12,4.020
61,"Asteraceae	",Ambrosia,trifida,Ambrosia_trifida,Native,Forb,Annual,Abiotic,Abiotic,FALSE,2.00,0.189,258.44,11.000
65,"Primulaceae	",Anagallis,arvensis,Anagallis_arvensis,Exotic,Forb,Annual,Biotic,Abiotic,FALSE,0.30,0.142,297.86,0.500
70,"Asteraceae	",Anaphalis,margaritacea,Anaphalis_margaritacea,Native,Forb,Perennial,Biotic,Abiotic,FALSE,0.90,0.294,158.50,0.014
75,"Poaceae	",Schizachyrium,scoparium,Schizachyrium_scoparium,Native,Graminoid,Perennial,Abiotic,Abiotic,TRUE,1.20,0.354,95.60,1.800
76,"Poaceae	",Andropogon,virginicus,Andropogon_virginicus,Native,Graminoid,Perennial,Abiotic,Abiotic,FALSE,1.50,0.371,187.30,0.300
80,"Asteraceae	",Antennaria,neglecta,Antennaria_neglecta,Native,Forb,Perennial,Biotic,Abiotic,FALSE,0.40,NA,178.02,0.068
81,Asteraceae,Antennaria,sp,Antennaria_sp,Native,Forb,Perennial,Biotic,Abiotic,FALSE,NA,NA,NA,NA
85,"Asteraceae	",Anthemis,arvensis,Anthemis_arvensis,Exotic,Forb,Annual,Biotic,Abiotic,FALSE,0.50,0.129,372.37,0.670
86,"Asteraceae	",Anthemis,cotula,Anthemis_cotula,Exotic,Forb,Annual,Biotic,Abiotic,FALSE,0.90,0.191,206.56,0.411
89,"Poaceae	",Anthoxanthum,odoratum,Anthoxanthum_odoratum,Exotic,Graminoid,Perennial,Abiotic,Abiotic,TRUE,0.70,0.248,169.73,0.450
90,"Fabaceae	",Apios,americana,Apios_americana,Native,Forb,Perennial,Biotic,Abiotic,FALSE,6.00,NA,NA,NA
94,"Apocynaceae	",Apocynum,androsaemifolium,Apocynum_androsaemifolium,Native,Forb,Perennial,Biotic,Abiotic,FALSE,0.80,0.340,161.63,0.258
95,"Apocynaceae	",Apocynum,cannabinum,Apocynum_cannabinum,Native,Forb,Perennial,Biotic,Abiotic,FALSE,1.50,0.339,156.14,0.808
97,"Asteraceae	",Arctium,minus,Arctium_minus,Exotic,Forb,Perennial,Biotic,Biotic,FALSE,1.50,0.177,240.67,8.800
100,"Caryophyllaceae	",Arenaria,serpyllifolia,Arenaria_serpyllifolia,Exotic,Forb,Annual,Biotic,Abiotic,FALSE,0.30,0.303,203.21,0.070
105,"Araceae	",Arisaema,triphyllum,Arisaema_triphyllum,Native,Forb,Perennial,Biotic,Biotic,FALSE,0.60,NA,380.00,31.000
